iter	Passed	Remaining
0	4	458
1	8	436
2	13	421
3	16	389
4	20	387
5	24	387
6	28	382
7	32	378
8	36	366
9	38	346
10	40	330
11	43	315
12	45	302
13	47	291
14	49	281
15	52	273
16	54	265
17	56	258
18	59	252
19	61	245
20	63	237
21	64	229
22	66	222
23	68	215
24	69	209
25	71	203
26	72	197
27	74	191
28	76	186
29	77	181
30	79	177
31	81	172
32	82	168
33	84	164
34	86	159
35	87	155
36	89	152
37	90	148
38	92	144
39	94	141
40	95	137
41	96	133
42	98	130
43	99	126
44	101	123
45	102	120
46	104	117
47	106	114
48	107	111
49	109	109
50	110	106
51	112	103
52	113	100
53	115	98
54	116	95
55	117	92
56	119	90
57	121	87
58	123	85
59	125	83
60	126	81
61	128	78
62	129	76
63	131	74
64	133	71
65	134	69
66	136	67
67	137	64
68	139	62
69	141	60
70	142	58
71	144	56
72	145	53
73	147	51
74	149	49
75	150	47
76	152	45
77	153	43
78	155	41
79	157	39
80	158	37
81	160	35
82	161	33
83	163	31
84	164	29
85	166	27
86	168	25
87	169	23
88	171	21
89	172	19
90	174	17
91	175	15
92	177	13
93	179	11
94	180	9
95	182	7
96	183	5
97	185	3
98	186	1
99	188	0
