iter	Passed	Remaining
0	629	628492
1	631	314944
2	645	214639
3	647	161243
4	649	129193
5	650	107819
6	652	92554
7	654	81117
8	655	72232
9	659	65281
10	661	59433
11	662	54557
12	664	50440
13	666	46907
14	667	43844
15	669	41169
16	671	38838
17	673	36763
18	675	34895
19	677	33209
20	679	31674
21	681	30279
22	682	29007
23	684	27844
24	687	26812
25	689	25818
26	690	24894
27	692	24034
28	693	23233
29	695	22490
30	697	21795
31	700	21184
32	702	20573
33	703	19993
34	705	19446
35	706	18928
36	708	18440
37	710	17982
38	711	17543
39	715	17173
40	717	16774
41	718	16396
42	720	16034
43	722	15689
44	723	15361
45	725	15044
46	728	14773
47	730	14483
48	731	14205
49	733	13940
50	735	13682
51	736	13434
52	738	13195
53	740	12965
54	743	12768
55	745	12558
56	746	12353
57	748	12154
58	750	11969
59	752	11795
60	754	11615
61	757	11462
62	759	11296
63	761	11136
64	763	10984
65	765	10832
66	767	10684
67	773	10604
68	775	10466
69	777	10328
70	779	10194
71	780	10062
72	782	9934
73	783	9809
74	785	9692
75	789	9603
76	792	9498
77	794	9388
78	796	9286
79	798	9181
80	803	9117
81	805	9016
82	806	8908
83	807	8809
84	809	8714
85	811	8620
86	812	8528
87	814	8443
88	816	8361
89	818	8275
90	820	8191
91	821	8109
92	823	8029
93	824	7951
94	826	7874
95	830	7820
96	832	7747
97	833	7673
98	835	7602
99	836	7532
100	838	7464
101	840	7397
102	841	7332
103	846	7290
104	847	7227
105	849	7164
106	851	7103
107	852	7042
108	854	6983
109	856	6925
110	857	6871
111	860	6821
112	862	6767
113	864	6715
114	865	6663
115	867	6611
116	868	6556
117	870	6506
118	874	6471
119	875	6422
120	877	6373
121	878	6323
122	880	6276
123	881	6230
124	883	6184
125	885	6139
126	887	6104
127	889	6060
128	891	6019
129	893	5976
130	894	5934
131	896	5893
132	897	5853
133	899	5814
134	903	5786
135	904	5747
136	906	5709
137	907	5670
138	909	5633
139	911	5596
140	912	5561
141	913	5522
142	915	5488
143	918	5460
144	920	5426
145	921	5392
146	923	5358
147	925	5326
148	926	5293
149	928	5262
150	930	5232
151	933	5207
152	934	5176
153	936	5144
154	938	5114
155	939	5084
156	941	5054
157	947	5049
158	949	5022
159	951	4997
160	953	4969
161	955	4943
162	957	4916
163	959	4889
164	963	4875
165	965	4849
166	967	4823
167	968	4797
168	970	4772
169	972	4747
170	973	4721
171	978	4708
172	979	4684
173	981	4660
174	983	4636
175	985	4612
176	987	4589
177	988	4566
178	993	4555
179	995	4533
180	996	4511
181	998	4488
182	1001	4471
183	1003	4452
184	1009	4446
185	1011	4428
186	1014	4409
187	1016	4392
188	1020	4377
189	1026	4375
190	1029	4360
191	1031	4342
192	1037	4336
193	1039	4319
194	1041	4301
195	1044	4284
196	1046	4266
197	1051	4259
198	1054	4243
199	1056	4227
200	1059	4211
201	1061	4194
202	1067	4190
203	1069	4174
204	1090	4229
205	1093	4213
206	1095	4198
207	1101	4192
208	1103	4177
209	1106	4163
210	1109	4149
211	1119	4162
212	1123	4150
213	1128	4144
214	1130	4127
215	1133	4112
216	1135	4098
217	1143	4100
218	1150	4103
219	1155	4095
220	1164	4103
221	1168	4094
222	1175	4094
223	1178	4083
224	1182	4073
225	1189	4073
226	1191	4058
227	1193	4041
228	1196	4028
229	1198	4012
230	1204	4008
231	1206	3993
232	1208	3978
233	1210	3963
234	1212	3947
235	1214	3932
236	1217	3918
237	1219	3905
238	1222	3892
239	1226	3882
240	1228	3870
241	1231	3857
242	1233	3844
243	1236	3830
244	1244	3835
245	1248	3825
246	1250	3811
247	1255	3807
248	1258	3794
249	1260	3782
250	1263	3769
251	1265	3756
252	1271	3754
253	1273	3741
254	1276	3730
255	1279	3719
256	1282	3706
257	1286	3700
258	1289	3689
259	1291	3677
260	1294	3664
261	1296	3652
262	1302	3648
263	1304	3637
264	1307	3625
265	1310	3617
266	1317	3616
267	1319	3605
268	1323	3596
269	1334	3609
270	1338	3599
271	1340	3587
272	1342	3576
273	1349	3574
274	1351	3562
275	1353	3549
276	1355	3538
277	1358	3528
278	1360	3516
279	1363	3505
280	1365	3494
281	1368	3483
282	1370	3472
283	1375	3468
284	1377	3456
285	1379	3444
286	1381	3433
287	1383	3421
288	1391	3422
289	1393	3411
290	1395	3399
291	1397	3388
292	1399	3377
293	1404	3372
294	1408	3365
295	1410	3355
296	1413	3344
297	1415	3334
298	1423	3337
299	1426	3328
300	1428	3318
301	1431	3307
302	1435	3303
303	1438	3292
304	1440	3282
305	1442	3271
306	1445	3262
307	1450	3258
308	1452	3247
309	1454	3238
310	1457	3229
311	1460	3219
312	1462	3209
313	1464	3199
314	1466	3188
315	1468	3177
316	1469	3166
317	1471	3156
318	1473	3145
319	1475	3135
320	1478	3126
321	1479	3115
322	1481	3104
323	1483	3094
324	1484	3083
325	1486	3073
326	1487	3062
327	1491	3055
328	1493	3046
329	1495	3036
330	1497	3026
331	1499	3017
332	1501	3007
333	1503	2998
334	1506	2989
335	1508	2980
336	1510	2971
337	1513	2964
338	1516	2956
339	1521	2952
340	1523	2944
341	1525	2935
342	1528	2926
343	1530	2918
344	1535	2915
345	1537	2906
346	1540	2898
347	1542	2889
348	1544	2880
349	1546	2871
350	1550	2866
351	1552	2858
352	1554	2849
353	1556	2839
354	1558	2830
355	1559	2821
356	1561	2812
357	1565	2808
358	1567	2799
359	1569	2790
360	1571	2781
361	1572	2771
362	1574	2762
363	1576	2753
364	1579	2747
365	1581	2739
366	1583	2730
367	1584	2721
368	1586	2712
369	1588	2703
370	1589	2695
371	1591	2687
372	1598	2686
373	1600	2679
374	1606	2678
375	1617	2683
376	1623	2683
377	1627	2678
378	1632	2674
379	1637	2671
380	1640	2665
381	1661	2687
382	1663	2680
383	1675	2687
384	1680	2684
385	1685	2680
386	1691	2678
387	1699	2680
388	1701	2673
389	1706	2668
390	1714	2670
391	1718	2664
392	1720	2657
393	1727	2657
394	1730	2650
395	1733	2643
396	1735	2635
397	1737	2628
398	1744	2627
399	1748	2622
400	1751	2616
401	1757	2614
402	1761	2609
403	1764	2603
404	1767	2596
405	1773	2595
406	1776	2588
407	1779	2581
408	1781	2574
409	1783	2566
410	1788	2563
411	1797	2565
412	1803	2563
413	1805	2555
414	1807	2548
415	1809	2540
416	1811	2532
417	1815	2527
418	1819	2523
419	1821	2515
420	1823	2508
421	1825	2500
422	1827	2492
423	1829	2485
424	1834	2481
425	1836	2474
426	1838	2467
427	1840	2459
428	1842	2452
429	1844	2444
430	1848	2440
431	1850	2433
432	1852	2425
433	1854	2418
434	1856	2411
435	1858	2404
436	1862	2399
437	1864	2392
438	1866	2384
439	1867	2377
440	1869	2370
441	1872	2363
442	1874	2357
443	1879	2353
444	1881	2346
445	1883	2340
446	1887	2334
447	1889	2327
448	1894	2324
449	1896	2318
450	1899	2312
451	1901	2305
452	1904	2299
453	1909	2295
454	1911	2289
455	1914	2284
456	1921	2282
457	1924	2277
458	1927	2271
459	1931	2267
460	1937	2265
461	1940	2259
462	1942	2253
463	1945	2247
464	1947	2241
465	1954	2239
466	1956	2232
467	1958	2226
468	1960	2219
469	1962	2212
470	1967	2210
471	1970	2203
472	1972	2197
473	1974	2190
474	1977	2185
475	1983	2183
476	1987	2178
477	1991	2175
478	1996	2171
479	2000	2167
480	2004	2162
481	2006	2156
482	2008	2150
483	2014	2148
484	2019	2144
485	2021	2137
486	2023	2131
487	2028	2128
488	2031	2122
489	2033	2116
490	2036	2110
491	2039	2106
492	2058	2116
493	2060	2110
494	2062	2104
495	2065	2098
496	2067	2092
497	2080	2096
498	2084	2092
499	2089	2089
500	2092	2083
501	2094	2077
502	2096	2071
503	2104	2071
504	2107	2065
505	2109	2059
506	2111	2053
507	2114	2047
508	2120	2045
509	2123	2039
510	2126	2035
511	2129	2030
512	2135	2027
513	2138	2021
514	2141	2016
515	2147	2014
516	2151	2010
517	2154	2004
518	2156	1999
519	2159	1992
520	2162	1987
521	2168	1985
522	2171	1980
523	2175	1975
524	2177	1970
525	2179	1964
526	2182	1958
527	2184	1952
528	2186	1946
529	2189	1941
530	2191	1935
531	2193	1929
532	2195	1923
533	2197	1917
534	2199	1911
535	2200	1905
536	2202	1899
537	2205	1893
538	2206	1887
539	2208	1881
540	2210	1875
541	2211	1869
542	2213	1863
543	2215	1857
544	2219	1853
545	2222	1847
546	2224	1842
547	2226	1836
548	2228	1830
549	2230	1824
550	2239	1824
551	2241	1818
552	2243	1813
553	2244	1807
554	2247	1801
555	2250	1797
556	2254	1793
557	2256	1787
558	2257	1781
559	2259	1775
560	2260	1769
561	2268	1768
562	2270	1762
563	2272	1756
564	2274	1751
565	2276	1745
566	2282	1742
567	2283	1737
568	2285	1731
569	2287	1725
570	2289	1720
571	2291	1714
572	2295	1710
573	2296	1704
574	2298	1698
575	2300	1693
576	2301	1687
577	2303	1681
578	2305	1676
579	2308	1672
580	2310	1666
581	2312	1660
582	2314	1655
583	2315	1649
584	2317	1644
585	2319	1638
586	2321	1633
587	2324	1628
588	2325	1623
589	2327	1617
590	2329	1611
591	2330	1606
592	2332	1601
593	2334	1595
594	2337	1590
595	2339	1585
596	2341	1580
597	2342	1574
598	2344	1569
599	2346	1564
600	2348	1558
601	2349	1553
602	2352	1549
603	2354	1543
604	2356	1538
605	2357	1533
606	2359	1527
607	2361	1522
608	2363	1517
609	2365	1512
610	2367	1507
611	2369	1502
612	2371	1496
613	2372	1491
614	2374	1486
615	2376	1481
616	2377	1475
617	2379	1470
618	2382	1466
619	2383	1461
620	2385	1455
621	2387	1450
622	2388	1445
623	2390	1440
624	2392	1435
625	2393	1430
626	2396	1425
627	2397	1420
628	2399	1415
629	2401	1410
630	2402	1405
631	2404	1400
632	2406	1395
633	2409	1391
634	2411	1386
635	2413	1381
636	2414	1376
637	2416	1371
638	2418	1366
639	2419	1361
640	2421	1356
641	2425	1352
642	2426	1347
643	2428	1342
644	2430	1337
645	2431	1332
646	2433	1327
647	2434	1322
648	2436	1317
649	2439	1313
650	2441	1308
651	2443	1304
652	2445	1299
653	2447	1294
654	2448	1289
655	2450	1285
656	2454	1281
657	2456	1276
658	2458	1272
659	2460	1267
660	2462	1262
661	2464	1258
662	2466	1253
663	2470	1249
664	2472	1245
665	2474	1240
666	2475	1235
667	2477	1231
668	2478	1226
669	2482	1222
670	2484	1218
671	2486	1213
672	2487	1208
673	2489	1204
674	2493	1200
675	2496	1196
676	2499	1192
677	2501	1188
678	2503	1183
679	2504	1178
680	2506	1173
681	2508	1169
682	2512	1166
683	2514	1161
684	2515	1156
685	2517	1152
686	2519	1147
687	2521	1143
688	2522	1138
689	2526	1135
690	2528	1130
691	2530	1126
692	2532	1121
693	2533	1117
694	2535	1112
695	2537	1108
696	2539	1103
697	2541	1099
698	2543	1095
699	2544	1090
700	2546	1086
701	2548	1081
702	2549	1077
703	2551	1072
704	2554	1069
705	2556	1064
706	2557	1060
707	2559	1055
708	2561	1051
709	2563	1046
710	2564	1042
711	2566	1038
712	2570	1034
713	2571	1030
714	2573	1025
715	2575	1021
716	2576	1017
717	2578	1012
718	2580	1008
719	2581	1004
720	2584	1000
721	2586	995
722	2587	991
723	2589	987
724	2591	982
725	2592	978
726	2594	974
727	2596	970
728	2599	966
729	2600	962
730	2602	957
731	2604	953
732	2605	949
733	2607	944
734	2609	940
735	2610	936
736	2612	932
737	2614	928
738	2616	923
739	2617	919
740	2619	915
741	2620	911
742	2622	907
743	2625	903
744	2627	899
745	2629	895
746	2631	891
747	2633	887
748	2634	882
749	2636	878
750	2638	874
751	2641	871
752	2643	867
753	2644	862
754	2646	858
755	2647	854
756	2649	850
757	2650	846
758	2652	842
759	2656	838
760	2657	834
761	2659	830
762	2660	826
763	2662	822
764	2664	818
765	2665	814
766	2667	810
767	2670	806
768	2672	802
769	2674	798
770	2675	794
771	2677	790
772	2679	786
773	2680	782
774	2682	778
775	2685	775
776	2687	771
777	2688	767
778	2690	763
779	2692	759
780	2693	755
781	2695	751
782	2697	747
783	2701	744
784	2702	740
785	2704	736
786	2706	732
787	2707	728
788	2709	724
789	2711	720
790	2714	717
791	2716	713
792	2718	709
793	2720	705
794	2722	701
795	2723	698
796	2725	694
797	2726	690
798	2730	686
799	2731	682
800	2733	679
801	2735	675
802	2736	671
803	2738	667
804	2739	663
805	2741	659
806	2744	656
807	2746	652
808	2748	648
809	2749	644
810	2751	641
811	2752	637
812	2754	633
813	2756	629
814	2759	626
815	2762	622
816	2763	619
817	2765	615
818	2766	611
819	2768	607
820	2770	603
821	2773	600
822	2775	597
823	2777	593
824	2779	589
825	2781	585
826	2783	582
827	2793	580
828	2795	576
829	2797	572
830	2799	569
831	2800	565
832	2805	562
833	2807	558
834	2809	555
835	2810	551
836	2812	547
837	2814	544
838	2815	540
839	2821	537
840	2823	533
841	2825	530
842	2827	526
843	2829	522
844	2830	519
845	2836	516
846	2837	512
847	2839	508
848	2841	505
849	2842	501
850	2844	498
851	2846	494
852	2849	491
853	2851	487
854	2852	483
855	2854	480
856	2856	476
857	2858	473
858	2859	469
859	2863	466
860	2865	462
861	2867	459
862	2868	455
863	2870	451
864	2872	448
865	2874	444
866	2877	441
867	2879	437
868	2880	434
869	2882	430
870	2884	427
871	2885	423
872	2887	420
873	2889	416
874	2892	413
875	2894	409
876	2896	406
877	2897	402
878	2899	399
879	2901	395
880	2903	392
881	2905	388
882	2908	385
883	2909	381
884	2911	378
885	2913	374
886	2914	371
887	2916	367
888	2917	364
889	2919	360
890	2922	357
891	2924	354
892	2925	350
893	2927	347
894	2928	343
895	2930	340
896	2932	336
897	2933	333
898	2936	329
899	2938	326
900	2940	323
901	2942	319
902	2943	316
903	2945	312
904	2946	309
905	2948	305
906	2950	302
907	2952	299
908	2953	295
909	2955	292
910	2957	288
911	2958	285
912	2960	282
913	2963	278
914	2965	275
915	2967	272
916	2968	268
917	2970	265
918	2972	261
919	2974	258
920	2975	255
921	2979	252
922	2981	248
923	2982	245
924	2984	242
925	2986	238
926	2987	235
927	2989	231
928	2993	228
929	2995	225
930	2997	222
931	2998	218
932	3000	215
933	3002	212
934	3003	208
935	3008	205
936	3010	202
937	3011	199
938	3013	195
939	3015	192
940	3016	189
941	3018	185
942	3019	182
943	3025	179
944	3027	176
945	3028	172
946	3030	169
947	3032	166
948	3033	163
949	3038	159
950	3041	156
951	3043	153
952	3046	150
953	3052	147
954	3055	143
955	3057	140
956	3059	137
957	3067	134
958	3071	131
959	3074	128
960	3076	124
961	3078	121
962	3085	118
963	3089	115
964	3091	112
965	3094	108
966	3100	105
967	3103	102
968	3105	99
969	3108	96
970	3114	93
971	3117	89
972	3119	86
973	3121	83
974	3124	80
975	3128	76
976	3131	73
977	3133	70
978	3136	67
979	3139	64
980	3145	60
981	3148	57
982	3150	54
983	3153	51
984	3155	48
985	3158	44
986	3159	41
987	3161	38
988	3163	35
989	3164	31
990	3166	28
991	3168	25
992	3169	22
993	3172	19
994	3174	15
995	3176	12
996	3178	9
997	3180	6
998	3181	3
999	3183	0
